DAILY REVENUE,,,,,,,,
EOM,DATE,DAY,No.,CLUB,Description,link ce,to link pnl,REV
45838,45809,1,,PPC,Retail & Califresh,Califresh and Retail,Califresh and Retail,107.946962475084
45838,45809,1,,PPC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,14,PBH,CC,NMS,NMS,0
45838,45809,1,,PBH,CS,,,
45838,45809,1,,PBH,Gym,,,
45838,45809,1,,PBH,PT,PT,PT,0
45838,45809,1,,PBH,CES,PT,PT,0
45838,45809,1,,PBH,Stretching,PT,PT,0
45838,45809,1,,PBH,Kickfit,PT,PT,0
45838,45809,1,,PBH,Mixed,PT,PT,0
45838,45809,1,,PBH,Pilates,PT,PT,0
45838,45809,1,,PBH,Physio,PT,PT,0
45838,45809,1,,PBH,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,PBH,Yoga,,,
45838,45809,1,,PBH,YI 1:1,YI,Y&I,0
45838,45809,1,,PBH,Yoga Class,,,
45838,45809,1,,PBH,Group X,,,
45838,45809,1,,PBH,GX 1:1,,,
45838,45809,1,,PBH,Group Class,,,
45838,45809,1,,PBH,Supplement,Supplement,Supplement,0
45838,45809,1,,PBH,VAS,,,0
45838,45809,1,,PBH,Retail & Califresh,Califresh and Retail,Califresh and Retail,43.1233209116908
45838,45809,1,,PBH,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,15,NTC,CC,NMS,NMS,163.166734758727
45838,45809,1,,NTC,CS,,,
45838,45809,1,,NTC,Gym,,,
45838,45809,1,,NTC,PT,PT,PT,163.420945117799
45838,45809,1,,NTC,CES,PT,PT,0
45838,45809,1,,NTC,Stretching,PT,PT,0
45838,45809,1,,NTC,Kickfit,PT,PT,0
45838,45809,1,,NTC,Mixed,PT,PT,0
45838,45809,1,,NTC,Pilates,PT,PT,0
45838,45809,1,,NTC,Physio,PT,PT,0
45838,45809,1,,NTC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,NTC,Yoga,,,
45838,45809,1,,NTC,YI 1:1,YI,Y&I,0
45838,45809,1,,NTC,Yoga Class,,,
45838,45809,1,,NTC,Group X,,,
45838,45809,1,,NTC,GX 1:1,,,
45838,45809,1,,NTC,Group Class,,,
45838,45809,1,,NTC,Supplement,Supplement,Supplement,0
45838,45809,1,,NTC,VAS,,,0
45838,45809,1,,NTC,Retail & Califresh,Califresh and Retail,Califresh and Retail,22.5322818268481
45838,45809,1,,NTC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,16,CTC,CC,NMS,NMS,-107.113350583322
45838,45809,1,,CTC,CS,,,
45838,45809,1,,CTC,Gym,,,
45838,45809,1,,CTC,PT,PT,PT,0
45838,45809,1,,CTC,CES,PT,PT,0
45838,45809,1,,CTC,Stretching,PT,PT,0
45838,45809,1,,CTC,Kickfit,PT,PT,0
45838,45809,1,,CTC,Mixed,PT,PT,0
45838,45809,1,,CTC,Pilates,PT,PT,0
45838,45809,1,,CTC,Physio,PT,PT,0
45838,45809,1,,CTC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,CTC,Yoga,,,
45838,45809,1,,CTC,YI 1:1,YI,Y&I,0
45838,45809,1,,CTC,Yoga Class,,,
45838,45809,1,,CTC,Group X,,,
45838,45809,1,,CTC,GX 1:1,,,
45838,45809,1,,CTC,Group Class,,,
45838,45809,1,,CTC,Supplement,Supplement,Supplement,0
45838,45809,1,,CTC,VAS,,,0
45838,45809,1,,CTC,Retail & Califresh,Califresh and Retail,Califresh and Retail,31.4065343617298
45838,45809,1,,CTC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,17,PCH,CC,NMS,NMS,65.2594307503745
45838,45809,1,,PCH,CS,,,
45838,45809,1,,PCH,Gym,,,
45838,45809,1,,PCH,PT,PT,PT,-43.5789186980798
45838,45809,1,,PCH,CES,PT,PT,0
45838,45809,1,,PCH,Stretching,PT,PT,0
45838,45809,1,,PCH,Kickfit,PT,PT,0
45838,45809,1,,PCH,Mixed,PT,PT,0
45838,45809,1,,PCH,Pilates,PT,PT,0
45838,45809,1,,PCH,Physio,PT,PT,0
45838,45809,1,,PCH,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,PCH,Yoga,,,
45838,45809,1,,PCH,YI 1:1,YI,Y&I,0
45838,45809,1,,PCH,Yoga Class,,,
45838,45809,1,,PCH,Group X,,,
45838,45809,1,,PCH,GX 1:1,,,
45838,45809,1,,PCH,Group Class,,,
45838,45809,1,,PCH,Supplement,Supplement,Supplement,0
45838,45809,1,,PCH,VAS,,,0
45838,45809,1,,PCH,Retail & Califresh,Califresh and Retail,Califresh and Retail,3.70916023918884
45838,45809,1,,PCH,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,18,MPC,CC,NMS,NMS,0
45838,45809,1,,MPC,CS,,,
45838,45809,1,,MPC,Gym,,,
45838,45809,1,,MPC,PT,PT,PT,0
45838,45809,1,,MPC,CES,PT,PT,0
45838,45809,1,,MPC,Stretching,PT,PT,0
45838,45809,1,,MPC,Kickfit,PT,PT,0
45838,45809,1,,MPC,Mixed,PT,PT,0
45838,45809,1,,MPC,Pilates,PT,PT,0
45838,45809,1,,MPC,Physio,PT,PT,0
45838,45809,1,,MPC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,MPC,Yoga,,,
45838,45809,1,,MPC,YI 1:1,YI,Y&I,0
45838,45809,1,,MPC,Yoga Class,,,
45838,45809,1,,MPC,Group X,,,
45838,45809,1,,MPC,GX 1:1,,,
45838,45809,1,,MPC,Group Class,,,
45838,45809,1,,MPC,Supplement,Supplement,Supplement,0
45838,45809,1,,MPC,VAS,,,0
45838,45809,1,,MPC,Retail & Califresh,Califresh and Retail,Califresh and Retail,22.1856313372043
45838,45809,1,,MPC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,19,AMY,CC,NMS,NMS,0
45838,45809,1,,AMY,CS,,,
45838,45809,1,,AMY,Gym,,,
45838,45809,1,,AMY,PT,PT,PT,1673.43047800626
45838,45809,1,,AMY,CES,PT,PT,0
45838,45809,1,,AMY,Stretching,PT,PT,0
45838,45809,1,,AMY,Kickfit,PT,PT,0
45838,45809,1,,AMY,Mixed,PT,PT,0
45838,45809,1,,AMY,Pilates,PT,PT,0
45838,45809,1,,AMY,Physio,PT,PT,0
45838,45809,1,,AMY,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,AMY,Yoga,,,
45838,45809,1,,AMY,YI 1:1,YI,Y&I,0
45838,45809,1,,AMY,Yoga Class,,,
45838,45809,1,,AMY,Group X,,,
45838,45809,1,,AMY,GX 1:1,,,
45838,45809,1,,AMY,Group Class,,,
45838,45809,1,,AMY,Supplement,Supplement,Supplement,0
45838,45809,1,,AMY,VAS,,,0
45838,45809,1,,AMY,Retail & Califresh,Califresh and Retail,Califresh and Retail,113.008059623884
45838,45809,1,,AMY,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,20,HDY,CC,NMS,NMS,0
45838,45809,1,,HDY,CS,,,
45838,45809,1,,HDY,Gym,,,
45838,45809,1,,HDY,PT,PT,PT,0
45838,45809,1,,HDY,CES,PT,PT,0
45838,45809,1,,HDY,Stretching,PT,PT,0
45838,45809,1,,HDY,Kickfit,PT,PT,0
45838,45809,1,,HDY,Mixed,PT,PT,0
45838,45809,1,,HDY,Pilates,PT,PT,0
45838,45809,1,,HDY,Physio,PT,PT,0
45838,45809,1,,HDY,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,HDY,Yoga,,,
45838,45809,1,,HDY,YI 1:1,YI,Y&I,0
45838,45809,1,,HDY,Yoga Class,,,
45838,45809,1,,HDY,Group X,,,
45838,45809,1,,HDY,GX 1:1,,,
45838,45809,1,,HDY,Group Class,,,
45838,45809,1,,HDY,Supplement,Supplement,Supplement,0
45838,45809,1,,HDY,VAS,,,0
45838,45809,1,,HDY,Retail & Califresh,Califresh and Retail,Califresh and Retail,14.1086749285033
45838,45809,1,,HDY,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,21,GVC,CC,NMS,NMS,1106.65032457215
45838,45809,1,,GVC,CS,,,
45838,45809,1,,GVC,Gym,,,
45838,45809,1,,GVC,PT,PT,PT,0
45838,45809,1,,GVC,CES,PT,PT,0
45838,45809,1,,GVC,Stretching,PT,PT,0
45838,45809,1,,GVC,Kickfit,PT,PT,0
45838,45809,1,,GVC,Mixed,PT,PT,0
45838,45809,1,,GVC,Pilates,PT,PT,0
45838,45809,1,,GVC,Physio,PT,PT,0
45838,45809,1,,GVC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,GVC,Yoga,,,
45838,45809,1,,GVC,YI 1:1,YI,Y&I,0
45838,45809,1,,GVC,Yoga Class,,,
45838,45809,1,,GVC,Group X,,,
45838,45809,1,,GVC,GX 1:1,,,
45838,45809,1,,GVC,Group Class,,,
45838,45809,1,,GVC,Supplement,Supplement,Supplement,0
45838,45809,1,,GVC,VAS,,,0
45838,45809,1,,GVC,Retail & Califresh,Califresh and Retail,Califresh and Retail,40.1767917497183
45838,45809,1,,GVC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,22,TDU,CC,NMS,NMS,21.7531435834582
45838,45809,1,,TDU,CS,,,
45838,45809,1,,TDU,Gym,,,
45838,45809,1,,TDU,PT,PT,PT,0
45838,45809,1,,TDU,CES,PT,PT,0
45838,45809,1,,TDU,Stretching,PT,PT,0
45838,45809,1,,TDU,Kickfit,PT,PT,0
45838,45809,1,,TDU,Mixed,PT,PT,0
45838,45809,1,,TDU,Pilates,PT,PT,0
45838,45809,1,,TDU,Physio,PT,PT,0
45838,45809,1,,TDU,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,TDU,Yoga,,,
45838,45809,1,,TDU,YI 1:1,YI,Y&I,0
45838,45809,1,,TDU,Yoga Class,,,
45838,45809,1,,TDU,Group X,,,
45838,45809,1,,TDU,GX 1:1,,,
45838,45809,1,,TDU,Group Class,,,
45838,45809,1,,TDU,Supplement,Supplement,Supplement,0
45838,45809,1,,TDU,VAS,,,0
45838,45809,1,,TDU,Retail & Califresh,Califresh and Retail,Califresh and Retail,433.321778317012
45838,45809,1,,TDU,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,23,TDY,CC,NMS,NMS,0
45838,45809,1,,TDY,CS,,,
45838,45809,1,,TDY,Gym,,,
45838,45809,1,,TDY,PT,PT,PT,0
45838,45809,1,,TDY,CES,PT,PT,0
45838,45809,1,,TDY,Stretching,PT,PT,0
45838,45809,1,,TDY,Kickfit,PT,PT,0
45838,45809,1,,TDY,Mixed,PT,PT,0
45838,45809,1,,TDY,Pilates,PT,PT,0
45838,45809,1,,TDY,Physio,PT,PT,0
45838,45809,1,,TDY,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,TDY,Yoga,,,
45838,45809,1,,TDY,YI 1:1,YI,Y&I,0
45838,45809,1,,TDY,Yoga Class,,,
45838,45809,1,,TDY,Group X,,,
45838,45809,1,,TDY,GX 1:1,,,
45838,45809,1,,TDY,Group Class,,,
45838,45809,1,,TDY,Supplement,Supplement,Supplement,0
45838,45809,1,,TDY,VAS,,,0
45838,45809,1,,TDY,Retail & Califresh,Califresh and Retail,Califresh and Retail,0
45838,45809,1,,TDY,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,24,CVC,CC,NMS,NMS,180.41672341005
45838,45809,1,,CVC,CS,,,
45838,45809,1,,CVC,Gym,,,
45838,45809,1,,CVC,PT,PT,PT,0
45838,45809,1,,CVC,CES,PT,PT,0
45838,45809,1,,CVC,Stretching,PT,PT,0
45838,45809,1,,CVC,Kickfit,PT,PT,0
45838,45809,1,,CVC,Mixed,PT,PT,0
45838,45809,1,,CVC,Pilates,PT,PT,0
45838,45809,1,,CVC,Physio,PT,PT,0
45838,45809,1,,CVC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,CVC,Yoga,,,
45838,45809,1,,CVC,YI 1:1,YI,Y&I,0
45838,45809,1,,CVC,Yoga Class,,,
45838,45809,1,,CVC,Group X,,,
45838,45809,1,,CVC,GX 1:1,,,
